Episode,Robot1_Reward,Robot1_Cleaned,Robot2_Reward,Robot2_Cleaned
0,-335.10000000000457,6,-362.1000000000039,6
1,-359.7000000000041,10,-397.50000000000523,5
2,-385.3000000000052,7,-356.3000000000024,6
3,-393.7000000000032,6,-329.8000000000013,10
4,-326.30000000000143,9,-384.9000000000034,5
5,-381.5000000000037,6,-423.90000000000623,3
6,-390.200000000005,7,-311.49999999999994,11
7,-348.10000000000355,7,-381.5000000000039,5
8,-382.600000000004,7,-377.9000000000038,4
9,-380.90000000000424,6,-407.9000000000051,5
10,-326.0000000000022,9,-340.1000000000027,8
11,-369.8000000000035,6,-377.1000000000043,5
12,-329.3000000000019,6,-337.10000000000167,10
13,-394.2000000000033,8,-351.900000000002,8
14,-431.5000000000062,4,-398.3000000000043,2
15,-343.800000000002,7,-356.900000000004,6
16,-354.60000000000286,6,-349.60000000000224,7
17,-378.30000000000405,7,-397.60000000000446,1
18,-344.1000000000022,8,-322.3000000000006,8
19,-366.30000000000473,6,-368.0000000000036,6
20,-346.60000000000355,8,-372.10000000000355,7
21,-345.00000000000216,5,-338.10000000000093,7
22,-354.7000000000037,7,-340.40000000000225,8
23,-341.8000000000023,6,-363.0000000000042,7
24,-305.39999999999964,7,-346.3000000000031,6
25,-348.6000000000021,7,-338.10000000000326,4
26,-366.80000000000393,6,-333.60000000000167,9
27,-290.59999999999957,11,-337.40000000000236,6
28,-342.20000000000135,6,-290.0999999999996,9
29,-289.89999999999924,11,-278.3999999999981,12
30,-367.20000000000414,5,-269.59999999999764,9
31,-316.9000000000033,8,-331.900000000003,6
32,-332.8000000000016,7,-320.1000000000011,8
33,-284.7999999999997,14,-300.39999999999935,10
34,-325.7000000000011,6,-286.4999999999989,8
35,-306.6999999999996,12,-332.5000000000019,7
36,-297.19999999999953,13,-308.0000000000005,8
37,-336.0000000000017,4,-285.4,9
38,-300.69999999999965,7,-317.1000000000015,6
39,-321.4000000000011,6,-265.599999999997,13
40,-272.2999999999976,10,-313.300000000001,7
41,-330.600000000002,4,-303.39999999999964,9
42,-286.1999999999985,9,-280.19999999999794,15
43,-300.7999999999994,11,-278.4999999999983,13
44,-252.3999999999965,13,-322.30000000000217,7
45,-335.00000000000176,7,-299.6000000000002,9
46,-299.9999999999996,10,-317.9000000000007,10
47,-295.4000000000002,6,-298.8000000000004,7
48,-326.4000000000017,11,-308.4000000000002,6
49,-324.80000000000194,6,-344.1000000000028,8
50,-283.1999999999987,11,-286.0999999999983,11
51,-285.4999999999988,13,-336.40000000000083,11
52,-257.89999999999696,12,-314.40000000000066,13
53,-272.499999999997,14,-333.40000000000214,5
54,-279.39999999999816,12,-287.7999999999991,8
55,-275.4999999999979,9,-300.69999999999976,7
56,-277.6999999999986,13,-285.4999999999985,12
57,-285.8999999999986,9,-305.200000000001,7
58,-326.10000000000224,5,-318.400000000002,9
59,-283.2999999999995,10,-288.4999999999994,8
60,-274.39999999999736,7,-288.3999999999988,12
61,-267.099999999997,9,-263.499999999998,9
62,-293.59999999999866,11,-321.90000000000106,9
63,-296.7999999999992,3,-289.6999999999992,6
64,-281.0999999999992,8,-297.4000000000001,10
65,-235.19999999999658,12,-284.99999999999886,10
66,-278.0999999999984,11,-303.29999999999967,12
67,-252.39999999999645,15,-274.4999999999983,12
68,-263.59999999999724,10,-281.49999999999835,6
69,-306.0,6,-271.09999999999775,16
70,-273.99999999999795,10,-293.29999999999984,7
71,-265.59999999999746,12,-322.9000000000011,8
72,-272.39999999999856,9,-278.2999999999982,9
73,-249.39999999999674,9,-294.29999999999995,5
74,-281.4999999999984,10,-267.8999999999978,10
75,-285.49999999999875,9,-293.99999999999886,9
76,-315.7000000000018,5,-327.5000000000027,5
77,-314.5000000000018,8,-260.89999999999736,12
78,-308.40000000000106,8,-247.59999999999658,15
79,-287.6999999999993,10,-280.4000000000002,5
80,-294.00000000000057,7,-265.59999999999746,12
81,-290.39999999999907,8,-249.59999999999707,17
82,-260.4999999999977,9,-225.3999999999968,14
83,-233.69999999999678,13,-286.7999999999988,7
84,-279.3999999999984,11,-235.89999999999682,11
85,-271.3999999999979,9,-262.4999999999974,9
86,-284.6999999999987,7,-280.9999999999991,11
87,-216.49999999999645,17,-247.79999999999688,12
88,-199.3999999999974,16,-269.7999999999975,10
89,-331.0000000000001,6,-270.09999999999707,14
90,-247.09999999999636,15,-256.6999999999968,9
91,-265.29999999999677,8,-282.59999999999854,9
92,-285.5999999999999,8,-284.6999999999992,8
93,-249.69999999999615,15,-286.6999999999994,5
94,-239.29999999999615,13,-237.19999999999692,11
95,-258.99999999999704,10,-249.1999999999965,12
96,-271.6999999999977,13,-264.39999999999685,13
97,-258.59999999999684,10,-267.99999999999767,7
98,-237.3999999999968,15,-290.79999999999893,8
99,-269.09999999999786,8,-257.89999999999634,10
100,-247.69999999999675,11,-250.39999999999645,13
101,-230.4999999999972,11,-272.39999999999856,9
102,-250.89999999999685,8,-225.19999999999695,10
103,-263.29999999999757,9,-236.3999999999966,14
104,-276.99999999999835,8,-261.3999999999968,10
105,-294.70000000000005,6,-260.2999999999972,13
